id,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status,arrival_datetime
0,2,0,0,2,1,0,0,9,1,1,11,0,67.5,0,0,2018-01-14
1,2,0,1,2,0,0,0,117,0,0,0,0,72.25,0,0,2018-07-29
2,2,0,0,1,0,0,0,315,0,0,0,0,52.0,0,0,2018-12-02
3,1,0,0,2,1,0,0,32,1,0,0,0,56.0,0,0,2018-12-01
4,2,0,1,0,0,0,0,258,0,0,0,0,100.0,0,1,2018-10-16
5,0,2,2,5,0,0,2,215,1,0,0,0,212.06,0,1,2018-10-06
6,2,0,0,1,2,0,0,320,0,0,0,0,115.0,1,1,2018-08-18
7,2,0,0,2,2,0,0,265,0,0,0,0,87.0,0,0,2018-06-24
8,2,0,2,3,0,0,0,189,0,0,0,0,72.75,0,0,2018-10-08
9,3,0,0,3,0,0,0,137,1,0,0,0,117.3,2,0,2018-12-22
10,2,0,0,1,0,0,0,1,0,1,0,0,95.0,0,0,2018-09-27
11,2,2,0,1,0,0,3,69,1,0,0,0,221.3,1,1,2018-08-12
12,2,1,1,1,0,0,0,50,1,0,0,0,121.5,1,1,2018-04-30
13,2,0,2,3,1,0,0,217,1,0,0,0,63.75,0,1,2018-08-22
14,1,0,0,2,0,0,0,58,1,0,0,0,85.5,1,0,2017-10-30
15,2,0,1,2,0,0,0,143,1,0,0,0,77.03,1,0,2018-04-22
16,2,0,1,3,0,0,0,188,0,0,0,0,80.75,0,0,2018-06-02
17,2,0,0,2,0,0,0,155,1,0,0,0,121.5,1,1,2018-07-26
18,2,0,1,3,0,0,0,109,1,0,0,0,72.25,0,0,2018-08-03
19,1,0,0,2,0,0,0,84,1,0,0,0,93.6,1,0,2018-11-25
20,3,0,0,1,0,0,1,1,1,0,0,0,182.0,2,0,2018-06-28
21,1,0,0,3,0,0,4,7,2,0,0,0,143.0,0,0,2018-07-21
22,2,2,1,1,0,0,3,0,1,0,0,0,156.0,0,0,2018-08-30
23,1,0,0,4,0,0,0,1,1,0,0,0,74.8,0,1,2018-11-16
24,2,0,0,1,0,0,0,184,1,0,0,0,105.3,1,1,2018-07-04
25,2,0,1,2,0,0,0,11,0,0,0,0,58.0,1,0,2017-12-11
26,2,0,1,2,0,0,0,224,1,0,0,0,65.0,0,1,2018-10-02
27,2,0,0,2,0,0,0,182,1,0,0,0,117.9,2,1,2018-08-12
28,2,0,2,2,0,0,1,179,1,0,0,0,135.9,0,1,2018-09-24
29,2,0,2,3,0,0,0,111,1,0,0,0,90.1,0,1,2018-10-02
30,2,0,1,4,0,0,1,49,1,0,0,0,131.4,0,1,2018-05-02
31,2,0,0,1,0,0,1,61,1,0,0,0,87.3,0,1,2018-09-02
32,2,0,0,2,1,0,0,317,1,0,0,0,120.0,0,1,2018-09-15
33,2,0,0,3,0,0,2,66,1,0,0,0,108.0,2,0,2018-10-20
34,2,0,0,3,0,0,0,41,0,0,0,0,85.0,0,0,2018-10-27
35,2,0,2,5,0,0,0,139,1,0,0,0,107.87,1,0,2018-08-11
36,3,0,2,3,0,0,0,69,0,0,0,0,92.65,0,0,2018-12-12
37,2,0,0,2,0,0,0,207,1,0,0,0,105.3,1,1,2018-08-05
38,2,1,2,2,0,0,0,66,1,0,0,0,162.79,2,0,2018-09-03
39,2,0,3,7,0,0,1,161,1,0,0,0,97.75,1,0,2018-12-10
40,2,0,2,3,0,0,0,25,1,0,0,0,172.0,0,1,2018-06-26
41,2,0,1,3,0,0,0,147,1,0,0,0,106.25,1,0,2018-05-28
42,3,0,1,3,0,0,1,110,1,0,0,0,138.55,2,0,2018-07-07
43,2,0,0,4,1,0,0,208,1,0,0,0,80.75,0,1,2018-07-30
44,2,0,0,4,0,0,1,148,1,0,0,0,104.4,1,0,2018-10-25
45,2,0,1,3,0,0,0,223,1,0,0,0,102.85,1,1,2018-10-03
46,2,0,1,2,0,0,0,47,0,0,0,0,85.0,0,0,2018-04-04
47,2,0,1,3,0,0,0,275,0,0,0,0,90.0,0,1,2018-05-05
48,2,0,1,1,0,0,0,40,0,0,0,0,72.76,0,0,2017-09-19
49,2,0,0,1,0,0,0,129,1,0,0,0,135.9,2,1,2018-09-11
50,2,0,2,2,0,0,0,61,0,0,0,0,91.0,0,0,2017-10-04
51,2,0,0,3,0,0,0,110,1,0,0,0,122.4,0,1,2018-12-09
52,2,0,2,2,0,0,1,34,1,0,0,0,147.6,0,1,2018-09-25
